Epoch 1/150 | Train Acc: 0.1840 | Test Acc: 0.1480
Epoch 2/150 | Train Acc: 0.2688 | Test Acc: 0.2480
Epoch 3/150 | Train Acc: 0.2896 | Test Acc: 0.2928
Epoch 4/150 | Train Acc: 0.3304 | Test Acc: 0.2616
Epoch 5/150 | Train Acc: 0.3744 | Test Acc: 0.2896
Epoch 6/150 | Train Acc: 0.3992 | Test Acc: 0.3048
Epoch 7/150 | Train Acc: 0.4192 | Test Acc: 0.2976
Epoch 8/150 | Train Acc: 0.4288 | Test Acc: 0.3360
Epoch 9/150 | Train Acc: 0.4344 | Test Acc: 0.3032
Epoch 10/150 | Train Acc: 0.4672 | Test Acc: 0.3520
Epoch 11/150 | Train Acc: 0.4760 | Test Acc: 0.3576
Epoch 12/150 | Train Acc: 0.4968 | Test Acc: 0.2912
Epoch 13/150 | Train Acc: 0.5208 | Test Acc: 0.3704
Epoch 14/150 | Train Acc: 0.5008 | Test Acc: 0.3816
Epoch 15/150 | Train Acc: 0.5512 | Test Acc: 0.3824
Epoch 16/150 | Train Acc: 0.5384 | Test Acc: 0.3976
Epoch 17/150 | Train Acc: 0.5736 | Test Acc: 0.4088
Epoch 18/150 | Train Acc: 0.5976 | Test Acc: 0.2800
Epoch 19/150 | Train Acc: 0.5784 | Test Acc: 0.2648
Epoch 20/150 | Train Acc: 0.5592 | Test Acc: 0.3504
Epoch 21/150 | Train Acc: 0.5704 | Test Acc: 0.3720
Epoch 22/150 | Train Acc: 0.5720 | Test Acc: 0.3160
Epoch 23/150 | Train Acc: 0.6136 | Test Acc: 0.4048
Epoch 24/150 | Train Acc: 0.6256 | Test Acc: 0.3144
Epoch 25/150 | Train Acc: 0.6016 | Test Acc: 0.3416
Epoch 26/150 | Train Acc: 0.6016 | Test Acc: 0.4136
Epoch 27/150 | Train Acc: 0.6280 | Test Acc: 0.3752
Epoch 28/150 | Train Acc: 0.6040 | Test Acc: 0.3280
Epoch 29/150 | Train Acc: 0.5688 | Test Acc: 0.2432
Epoch 30/150 | Train Acc: 0.6384 | Test Acc: 0.3288
Epoch 31/150 | Train Acc: 0.6368 | Test Acc: 0.4824
Epoch 32/150 | Train Acc: 0.6944 | Test Acc: 0.4568
Epoch 33/150 | Train Acc: 0.6928 | Test Acc: 0.4576
Epoch 34/150 | Train Acc: 0.7048 | Test Acc: 0.4824
Epoch 35/150 | Train Acc: 0.6936 | Test Acc: 0.4760
Epoch 36/150 | Train Acc: 0.7056 | Test Acc: 0.4824
Epoch 37/150 | Train Acc: 0.7016 | Test Acc: 0.4824
Epoch 38/150 | Train Acc: 0.7216 | Test Acc: 0.4888
Epoch 39/150 | Train Acc: 0.7208 | Test Acc: 0.4720
Epoch 40/150 | Train Acc: 0.7112 | Test Acc: 0.4936
Epoch 41/150 | Train Acc: 0.7312 | Test Acc: 0.4992
Epoch 42/150 | Train Acc: 0.7096 | Test Acc: 0.4896
Epoch 43/150 | Train Acc: 0.7376 | Test Acc: 0.4968
Epoch 44/150 | Train Acc: 0.7080 | Test Acc: 0.4840
